"distribution","sample_size","replications","method","global_ise","global_squared_bias","global_variance","boundary_ise","boundary_squared_bias","boundary_variance","finite_rate","mean_floor_ratio","minimum_density","maximum_mass_error"
"exponential",1000,30,"shrinking",0.00273822412309522,0.00028350698150981,0.00245471714158541,0.00198144991484761,0.000219256056318021,0.00176219385852959,0.8,1.39713095946284,0,1.11022302462516e-16
"half_normal",100,30,"current",0.0219941368244042,0.0030219174956199,0.0189722193287843,0.0110161925675509,0.000849741178896194,0.0101664513886547,NA,NA,0,2.22044604925031e-16
"half_normal",100,30,"fixed-15pct",0.0227249965243955,0.00273111590377345,0.019993880620622,0.0117287333016139,0.000600066952616288,0.0111286663489976,0.8,2.37019396388901,0,1.11022302462516e-16
"half_normal",100,30,"fixed-20pct",0.0224219661004901,0.00271727802633407,0.0197046880741561,0.011438676091904,0.000586237600351728,0.0108524384915523,0.8,2.71464262028137,0,1.11022302462516e-16
"half_normal",100,30,"fixed-25pct",0.0219269324508956,0.00269041598616543,0.0192365164647302,0.0109498342362696,0.000558589786947187,0.0103912444493225,0.8,3.14072469187916,0,1.11022302462516e-16
"half_normal",100,30,"fixed-30pct",0.0215633488241571,0.00267166572203566,0.0188916831021214,0.0105948753978839,0.000542078086840766,0.0100527973110432,0.8,3.60955830997078,0,1.11022302462516e-16
"half_normal",100,30,"fixed-35pct",0.0210312218425393,0.00266532168736644,0.0183659001551728,0.0100696160284695,0.000533729203646682,0.00953588682482281,0.8,4.16410671809387,0,1.11022302462516e-16
"half_normal",100,30,"fixed-40pct",0.0206204333336116,0.0026483827572441,0.0179720505763675,0.00965859372516434,0.000516888221053642,0.0091417055041107,0.8,4.81231426826691,0,1.11022302462516e-16
"half_normal",100,30,"fixed-50pct",0.0200327113370716,0.00263109300195777,0.0174016183351138,0.00906277994189698,0.000497753785072715,0.00856502615682426,0.8,5.9807411308278,3.06939566084117e-10,1.11022302462516e-16
"half_normal",100,30,"fixed-75pct",0.0191219774632953,0.00246802725978619,0.0166539502035091,0.00820055137292614,0.000374255974420255,0.00782629539850588,0.8,9.15049092595185,3.07494413352088e-10,1.11022302462516e-16
"half_normal",100,30,"fixed-100pct",0.0177911170386674,0.00223295181803002,0.0155581652206374,0.00704315204661345,0.000232650073862045,0.0068105019727514,0.8,14.7602804283356,3.06779576076905e-10,1.11022302462516e-16
"half_normal",100,30,"shrinking",0.0237532831195187,0.00267081247804823,0.0210824706414705,0.0127376215859904,0.000545114336237087,0.0121925072497533,0.8,1.70499785686247,0,1.11022302462516e-16
"half_normal",1000,30,"current",0.00274341237242215,0.000280571449502999,0.00246284092291915,0.00156264121910904,8.45358254246363e-05,0.00147810539368441,NA,NA,4.07601257168278e-10,2.22044604925031e-16
"half_normal",1000,30,"fixed-15pct",0.00239860475791024,0.00023031830376732,0.00216828645414292,0.00122490802991675,4.12353743580945e-05,0.00118367265555866,0.7,4.34564987912544,1.13038952589692e-05,2.22044604925031e-16
"half_normal",1000,30,"fixed-20pct",0.00234511782877151,0.000233818969557785,0.00211129885921373,0.00117410137914751,4.61022224571394e-05,0.00112799915669037,0.7,5.32984658897953,1.13034006367537e-05,2.22044604925031e-16
